ID,TargetD,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
00046110,$4.00,6,41,3,20,$6.00,$5.17,$3.73,18,111,12,23,51,5,11,22,"$87,600",36,"$38,750"
00019094,$40.00,1,3,0,1,$35.00,$35.00,$28.33,17,44,15,32,56,6,6,22,"$137,300",32,$0
00102224,$6.00,3,16,2,13,$6.00,$6.33,$6.13,17,107,12,23,40,6,12,21,"$143,900",30,$0
00164513,$50.00,2,2,1,1,$20.00,$12.50,$12.50,18,27,11,23,19,5,11,9,$0,33,$0
00005532,$15.00,2,14,2,6,$14.00,$10.00,$9.93,4,64,30,50,103,6,16,24,"$169,000",50,"$83,169"
00189258,$15.00,5,11,3,7,$15.00,$10.20,$8.64,4,53,6,14,21,1,5,8,"$135,400",15,$0
00027634,$5.00,5,16,3,7,$15.00,$7.80,$5.38,25,103,8,25,43,4,13,17,"$123,600",22,$0
00190726,$10.00,4,14,2,7,$17.00,$17.00,$11.43,16,124,13,29,58,6,16,29,"$87,500",44,"$40,898"
00031911,$5.00,5,7,4,5,$5.00,$4.80,$4.29,16,41,15,32,32,6,14,13,"$80,000",37,"$57,800"
00015038,$25.00,1,10,1,9,$19.00,$19.00,$12.80,17,108,14,32,66,6,15,27,"$84,900",21,"$59,500"
00015046,$10.00,3,22,3,16,$10.00,$6.67,$2.64,24,131,4,13,49,2,7,24,"$59,500",23,$0
00015066,$10.00,4,24,2,10,$11.00,$10.25,$8.96,19,111,13,33,73,6,17,31,"$44,400",33,"$40,000"
00015086,$10.00,6,22,3,9,$25.00,$15.17,$14.18,16,99,14,36,76,6,17,28,"$59,500",23,$0
00015219,$25.00,1,1,1,1,$25.00,$25.00,$25.00,21,21,10,17,15,4,7,6,"$73,000",36,"$50,528"
00015332,$10.00,2,13,1,6,$11.00,$10.00,$6.54,17,77,13,32,56,6,15,22,"$72,300",30,$0
00015349,$30.00,1,1,0,0,$20.00,$20.00,$20.00,19,19,10,14,12,4,4,4,"$65,100",30,$0
00015384,$15.00,2,2,1,1,$15.00,$10.00,$10.00,18,29,10,23,21,4,9,8,"$45,200",31,"$35,302"
00015445,$20.00,1,13,0,6,$20.00,$20.00,$10.23,19,103,13,31,60,6,6,25,"$78,200",25,"$58,530"
00185774,$12.00,6,44,2,10,$10.00,$19.00,$15.48,5,187,29,51,118,11,22,38,"$65,000",0,"$58,530"
00015416,$30.00,1,1,1,1,$20.00,$20.00,$20.00,24,24,8,18,16,3,7,6,"$85,900",25,"$51,013"
00015651,$10.00,4,14,2,7,$10.00,$8.50,$6.93,23,127,12,32,68,6,15,29,"$149,700",40,"$53,466"
00015668,$45.00,1,3,0,2,$20.00,$20.00,$9.33,26,68,9,20,34,4,4,12,"$70,700",27,"$40,262"
00015697,$20.00,2,3,0,1,$20.00,$16.00,$14.00,19,44,14,31,35,6,6,13,"$53,500",37,"$43,481"
00015912,$6.00,6,9,2,4,$6.00,$6.50,$6.33,20,52,14,35,42,6,16,16,"$93,000",31,"$59,061"
00015965,$5.00,5,16,2,8,$4.00,$4.20,$3.69,16,124,13,32,62,6,15,27,"$42,900",23,"$37,148"
00016014,$10.00,2,13,1,6,$20.00,$17.50,$10.54,26,116,10,32,62,5,16,30,"$62,800",26,"$48,625"
00016099,$12.00,4,4,1,1,$10.00,$5.50,$5.50,20,32,13,26,25,6,11,9,"$66,000",18,"$41,736"
00016175,$30.00,1,1,1,1,$25.00,$25.00,$25.00,24,24,6,16,14,2,6,5,"$44,400",15,"$45,566"
00016329,$7.00,5,15,1,6,$5.00,$5.60,$4.87,15,97,12,31,64,5,13,26,"$68,300",25,"$49,836"
00016973,$8.00,6,38,4,15,$9.00,$7.83,$6.39,17,128,10,30,78,5,16,31,"$102,400",29,$0
00188284,$5.00,3,20,1,10,$10.00,$5.67,$5.10,6,121,19,37,79,7,14,29,"$298,900",28,"$53,517"
00015648,$20.00,3,22,2,14,$16.00,$14.67,$8.95,22,130,13,35,73,6,17,33,"$249,000",22,"$73,547"
00016643,$12.50,3,3,1,1,$15.00,$13.67,$13.67,18,27,12,26,23,6,13,11,"$89,500",25,"$66,208"
00016771,$5.00,3,18,1,11,$5.00,$5.00,$4.72,19,111,5,18,50,2,7,19,"$201,800",32,"$82,719"
00016777,$35.00,2,2,1,1,$25.00,$15.00,$15.00,15,29,10,20,20,3,7,7,"$96,400",29,$0
00188155,$8.00,5,20,4,13,$7.00,$6.80,$6.05,16,102,6,14,41,2,6,19,"$161,000",20,$0
00190040,$12.00,2,2,2,2,$15.00,$12.50,$12.50,16,24,4,9,9,2,5,5,"$161,000",20,$0
00016863,$50.00,3,4,3,4,$25.00,$18.33,$15.00,16,44,16,32,39,6,14,14,"$95,100",10,"$73,793"
00016972,$12.00,3,20,2,11,$10.00,$8.50,$10.59,23,130,13,31,75,6,14,29,"$62,100",23,"$56,388"
00017089,$5.00,5,7,3,4,$5.00,$6.00,$6.00,19,52,12,31,38,6,14,16,"$60,900",12,"$43,241"
00017094,$15.00,2,2,0,0,$16.00,$13.00,$13.00,18,28,10,23,21,4,4,9,"$89,700",29,"$57,017"
00017102,$7.00,5,13,1,4,$6.00,$6.80,$5.69,22,56,12,34,46,6,17,20,"$68,500",24,$0
00017145,$20.00,1,1,1,1,$20.00,$20.00,$20.00,16,16,12,17,14,5,7,6,"$49,700",24,"$40,197"
00024311,$3.00,2,9,2,7,$16.00,$16.50,$10.22,24,105,11,29,60,5,14,25,"$87,700",39,$0
00017255,$20.00,1,7,1,5,$16.00,$16.00,$12.71,15,77,14,31,54,5,12,19,"$73,500",29,"$54,339"
00017452,$32.00,4,7,3,5,$40.00,$27.50,$18.86,18,45,25,46,70,10,20,27,"$83,200",27,"$53,597"
00186462,$8.00,3,28,2,17,$10.00,$5.00,$4.29,4,129,19,37,82,6,14,31,"$65,400",23,"$43,231"
00017791,$25.00,2,4,2,3,$25.00,$25.00,$25.00,18,44,13,34,38,6,17,17,"$96,900",18,"$50,858"
00017772,$10.00,2,2,1,1,$5.00,$10.00,$10.00,20,21,11,18,16,4,7,6,"$260,200",43,"$50,858"
00017921,$8.00,5,7,3,4,$9.00,$8.20,$7.29,16,41,13,33,34,6,15,15,"$73,200",41,"$49,658"
00018038,$16.00,2,8,2,7,$16.00,$15.50,$12.38,25,77,11,32,60,6,17,22,"$54,800",30,$0
00018104,$12.00,3,11,1,8,$13.00,$12.33,$10.55,16,123,13,30,67,6,13,29,"$91,500",18,"$59,375"
00018089,$25.00,5,9,5,8,$17.00,$16.60,$13.78,21,76,14,32,55,6,16,22,"$99,400",19,"$59,375"
00018196,$12.00,6,43,2,17,$13.00,$11.33,$7.47,15,127,12,34,80,5,16,32,"$46,900",28,"$40,493"
00013782,$10.00,2,23,1,14,$10.00,$15.00,$18.04,6,130,25,45,98,5,14,33,"$48,500",0,"$37,127"
00018257,$5.00,4,9,4,6,$1.00,$4.75,$4.00,15,44,16,33,37,6,14,14,"$48,700",27,"$33,629"
00018322,$10.00,4,8,3,6,$11.00,$9.50,$7.38,17,56,13,31,41,6,14,17,"$80,700",32,"$36,402"
00018339,$10.00,3,3,1,1,$10.00,$10.00,$10.00,18,32,12,26,24,6,12,10,"$46,900",25,"$32,201"
00187959,$10.00,4,34,3,20,$11.00,$9.50,$7.50,19,80,7,15,34,2,6,14,"$102,400",32,$0
00018438,$5.00,7,17,3,10,$5.00,$5.00,$4.18,16,113,13,33,66,6,17,28,"$120,500",46,"$60,885"
00018466,$6.00,4,14,3,7,$5.00,$5.00,$3.93,15,68,11,26,46,5,12,18,"$59,400",30,"$44,250"
00018534,$15.00,1,1,0,0,$25.00,$25.00,$25.00,16,16,13,18,15,6,6,7,"$57,600",27,$0
00019789,$10.00,2,3,0,0,$10.00,$10.00,$10.00,19,24,14,26,25,6,6,9,"$35,500",35,"$50,628"
00018581,$12.00,1,16,0,10,$12.00,$12.00,$4.63,18,124,11,26,58,4,4,25,"$77,500",24,"$50,628"
00018584,$12.00,1,10,1,6,$14.00,$14.00,$10.60,21,130,14,33,68,5,13,28,"$67,100",49,"$50,628"
00018607,$23.00,1,13,0,8,$17.00,$17.00,$7.77,26,125,9,28,67,4,4,27,"$79,700",30,"$55,991"
00018609,$10.00,1,8,1,6,$20.00,$20.00,$14.00,23,128,10,27,62,4,11,26,"$120,800",30,"$55,991"
00018694,$5.00,1,7,0,2,$15.00,$15.00,$6.14,26,81,9,26,48,4,4,19,"$32,000",34,"$36,344"
00018761,$15.00,4,12,2,6,$14.00,$12.50,$9.08,22,76,12,34,58,6,17,23,"$71,400",25,"$57,099"
00018750,$20.00,3,6,2,3,$15.00,$13.33,$12.50,25,53,11,33,41,6,17,18,"$48,200",26,$0
